,title,description,publishedAt,url,sentiment
13,Why Chinese Online Travel Platform Trip.com’s $18 Billion Rally May Have More Room To Grow,"Even as an economic slowdown dampens domestic consumer spending, China’s travel boom shows no signs of abating thanks to adventure-seeking millennials, says Jane Sun, 56, CEO of online travel bookings platform Trip.com.",2024-11-29T11:20:48Z,https://www.forbes.com/sites/ywang/2024/11/29/why-chinese-online-travel-platform-tripcoms-18-billion-rally-may-have-more-room-to-grow/,1
16,"8,519 Shares in Loews Co. (NYSE:L) Purchased by Dynamic Technology Lab Private Ltd","Dynamic Technology Lab Private Ltd purchased a new position in Loews Co. (NYSE:L – Free Report) during the 3rd quarter, HoldingsChannel reports. The institutional investor purchased 8,519 shares of the insurance provider’s stock, valued at approximately $674,…",2024-11-29T11:19:12Z,https://www.etfdailynews.com/2024/11/29/8519-shares-in-loews-co-nysel-purchased-by-dynamic-technology-lab-private-ltd/,1
17,The Sherwin-Williams Company (NYSE:SHW) Shares Sold by Fisher Asset Management LLC,"Fisher Asset Management LLC lowered its position in shares of The Sherwin-Williams Company (NYSE:SHW – Free Report) by 22.6% in the third quarter, HoldingsChannel.com reports. The firm owned 7,447 shares of the specialty chemicals company’s stock after sellin…",2024-11-29T11:19:11Z,https://www.etfdailynews.com/2024/11/29/the-sherwin-williams-company-nyseshw-shares-sold-by-fisher-asset-management-llc/,-1
18,"531 Shares in Airbnb, Inc. (NASDAQ:ABNB) Purchased by Brown Brothers Harriman & Co.","Brown Brothers Harriman & Co. bought a new stake in shares of Airbnb, Inc. (NASDAQ:ABNB – Free Report) in the third quarter, according to its most recent Form 13F filing with the SEC. The fund bought 531 shares of the company’s stock, valued at approximately …",2024-11-29T11:19:11Z,https://www.etfdailynews.com/2024/11/29/531-shares-in-airbnb-inc-nasdaqabnb-purchased-by-brown-brothers-harriman-co/,1
20,The Fed is Losing the Inflation Battle. Investors Don’t Care,"Inflation is moving in the wrong direction, yet the stock market just won’t quit.",2024-11-29T11:17:03Z,https://biztoc.com/x/08a4527fb696e824,-1
22,Stock market update: Nifty Bank index 0.29%,The Nifty Bank index closed 0.29 per cent  at 52055.60.,2024-11-29T11:15:49Z,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-bank-index-0-29/articleshow/115807123.cms,1
23,PPC Group: Significant performance in Sustainable Development in 2023,"The PPC Group presented its Annual Sustainable Development Report for 2023, in accordance with the international standards of the Global Reporting Initiative (GRI Standards) and the Athens Stock Exchange ESG…
PPC Group: Significant performance in Sustainable …",2024-11-29T11:14:54Z,https://www.naftemporiki.gr/english/1841285/ppc-group-significant-performance-in-sustainable-development-in-2023/,1
24,William Blair Reiterates Market Perform Rating for Poseida Therapeutics (NASDAQ:PSTX),"William Blair reissued their market perform rating on shares of Poseida Therapeutics (NASDAQ:PSTX – Free Report) in a research note published on Tuesday morning, MarketBeat.com reports. Separately, HC Wainwright restated a “neutral” rating and set a $9.00 pri…",2024-11-29T11:14:50Z,https://www.etfdailynews.com/2024/11/29/william-blair-reiterates-market-perform-rating-for-poseida-therapeutics-nasdaqpstx/,1
25,Old National Bancorp (NASDAQ:ONB) Price Target Raised to $25.00,"Old National Bancorp (NASDAQ:ONB – Free Report) had its price target raised by Royal Bank of Canada from $24.00 to $25.00 in a research note issued to investors on Tuesday,Benzinga reports. The brokerage currently has a sector perform rating on the bank’s sto…",2024-11-29T11:14:50Z,https://www.etfdailynews.com/2024/11/29/old-national-bancorp-nasdaqonb-price-target-raised-to-25-00/,1
28,"Morning bid: Bonds in vogue on Black Friday, yen pops","Morning bid: Bonds in vogue on Black Friday, yen pops",2024-11-29T11:11:26Z,https://www.investing.com/news/commodities-news/morning-bid-bonds-in-vogue-on-black-friday-yen-pops-3746504,1
30,Stock market update: Nifty Auto index 1.01%,The Nifty Auto index closed 1.01 per cent  at 23368.55.,2024-11-29T11:10:44Z,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-auto-index-1-01/articleshow/115806902.cms,1
31,Daiwa Securities Group Inc. Increases Holdings in Vornado Realty Trust (NYSE:VNO),"Daiwa Securities Group Inc. lifted its position in Vornado Realty Trust (NYSE:VNO – Free Report) by 10.8% in the third quarter, Holdings Channel reports. The firm owned 59,792 shares of the real estate investment trust’s stock after buying an additional 5,819…",2024-11-29T11:08:56Z,https://www.etfdailynews.com/2024/11/29/daiwa-securities-group-inc-increases-holdings-in-vornado-realty-trust-nysevno/,1
32,"Daiwa Securities Group Inc. Purchases 1,873 Shares of CF Industries Holdings, Inc. (NYSE:CF)","Daiwa Securities Group Inc. lifted its position in CF Industries Holdings, Inc. (NYSE:CF – Free Report) by 9.2% during the 3rd quarter, HoldingsChannel reports. The firm owned 22,246 shares of the basic materials company’s stock after buying an additional 1,8…",2024-11-29T11:08:55Z,https://www.etfdailynews.com/2024/11/29/daiwa-securities-group-inc-purchases-1873-shares-of-cf-industries-holdings-inc-nysecf/,1
34,Daiwa Securities Group Inc. Has $1.83 Million Position in Marathon Oil Co. (NYSE:MRO),"Daiwa Securities Group Inc. raised its stake in Marathon Oil Co. (NYSE:MRO – Free Report) by 9.5% during the 3rd quarter, according to the company in its most recent disclosure with the Securities and Exchange Commission (SEC). The fund owned 68,524 shares of…",2024-11-29T11:08:54Z,https://www.etfdailynews.com/2024/11/29/daiwa-securities-group-inc-has-1-83-million-position-in-marathon-oil-co-nysemro/,1
35,"Centaurus Financial Inc. Acquires New Stake in Texas Roadhouse, Inc. (NASDAQ:TXRH)","Centaurus Financial Inc. acquired a new stake in shares of Texas Roadhouse, Inc. (NASDAQ:TXRH – Free Report) during the third quarter, according to the company in its most recent disclosure with the Securities & Exchange Commission. The firm acquired 576 shar…",2024-11-29T11:08:54Z,https://www.etfdailynews.com/2024/11/29/centaurus-financial-inc-acquires-new-stake-in-texas-roadhouse-inc-nasdaqtxrh/,1
36,"Charles Schwab Investment Management Inc. Buys 182,917 Shares of Apple Hospitality REIT, Inc. (NYSE:APLE)","Charles Schwab Investment Management Inc. grew its position in Apple Hospitality REIT, Inc. (NYSE:APLE – Free Report) by 4.3% during the third quarter, according to the company in its most recent disclosure with the Securities & Exchange Commission. The firm …",2024-11-29T11:08:54Z,https://www.etfdailynews.com/2024/11/29/charles-schwab-investment-management-inc-buys-182917-shares-of-apple-hospitality-reit-inc-nyseaple/,1
37,"Lithia Motors, Inc. (NYSE:LAD) Shares Sold by Charles Schwab Investment Management Inc.","Charles Schwab Investment Management Inc. lowered its position in Lithia Motors, Inc. (NYSE:LAD – Free Report) by 7.5% during the 3rd quarter, according to its most recent disclosure with the Securities and Exchange Commission. The firm owned 206,145 shares o…",2024-11-29T11:08:54Z,https://www.etfdailynews.com/2024/11/29/lithia-motors-inc-nyselad-shares-sold-by-charles-schwab-investment-management-inc/,-1
38,Charles Schwab Investment Management Inc. Has $68.04 Million Holdings in Valvoline Inc. (NYSE:VVV),"Charles Schwab Investment Management Inc. raised its holdings in Valvoline Inc. (NYSE:VVV – Free Report) by 1.2% in the third quarter, according to the company in its most recent Form 13F filing with the Securities and Exchange Commission. The firm owned 1,62…",2024-11-29T11:08:53Z,https://www.etfdailynews.com/2024/11/29/charles-schwab-investment-management-inc-has-68-04-million-holdings-in-valvoline-inc-nysevvv/,1
40,Tetragon Financial Group Limited October 2024 Monthly Factsheet,Tetragon Financial Group Limited October 2024 Monthly Factsheet,2024-11-29T11:08:04Z,https://www.investing.com/news/press-releases/tetragon-financial-group-limited-october-2024-monthly-factsheet-93CH-3746498,1
41,Tesla Stock vs. Alphabet Stock: Wall Street Only Thinks 1 Will Head Higher From Here,"Self-driving vehicles will be a priority for the incoming presidential administration's appointees at the Department of Transportation, according to reports. That could mean we'll see an explosion of autonomous vehicles on roads across the country over the ne…",2024-11-29T11:06:28Z,https://biztoc.com/x/f6ac8a655ddbb259,1
42,Prediction: Nvidia Stock Will Soar in 2025. Here's Why,"The past couple of years have been a nonstop thrill ride for Nvidia (NASDAQ: NVDA) investors. The company had a market cap of just $359 billion to kick off 2023. Now, its value has soared to more than $3.35 trillion (as of this writing) -- a more than ninefol…",2024-11-29T11:06:20Z,https://biztoc.com/x/a55e54ff7facde83,1
43,Is Palantir Stock a Buy After a Stellar Quarter?,"Palantir Technologies (NASDAQ: PLTR) has been in the news for all the right reasons. On Nov. 4, the company reported stellar third-quarter earnings results. Then, on Nov. 14, the company announced plans to shift its listing from the New York Stock Exchange to…",2024-11-29T11:06:11Z,https://biztoc.com/x/cf452cf7dbaa17f3,1
44,"Warren Buffett's New Favorite Stock, Which Has Soared Over 7,400% Since Its IPO, Is Being Dumped by 8 Billionaire Money Managers","There's a reason Warren Buffett is the most-followed billionaire money manager on Wall Street. Since becoming CEO of Berkshire Hathaway (NYSE: BRK.A)(NYSE: BRK.B) in the mid-1960s, the appropriately named ""Oracle of Omaha"" has overseen a scorching-hot aggrega…",2024-11-29T11:06:10Z,https://biztoc.com/x/835a61c2fda4d1b8,1
45,Domino's Pizza Stock Outlook: Is Wall Street Bullish or Bearish?,"Get all the relevant market information you need — get it fast, on time, and accurately with Barchart Plus.
FREE 30 Day Trial
- Market Pulse
-
- Options Market Overview
- Unusual Options Activity
- IV Rank and IV Percentile
- Implied vs Realized Vol
- Most Ac…",2024-11-29T11:05:47Z,https://biztoc.com/x/e441ecaa4c80bd98,1
46,P’Harcourt refinery: Controversy surrounds NNPCL claim on operation,The operational capacity of the newly rehabilitated Port Harcourt Refining Company came under intense scrutiny on Thursday. This was following claims that petroleum products loaded from the facility on Tuesday were not newly refined but products stored in the…,2024-11-29T11:05:22Z,https://punchng.com/pharcourt-refinery-controversy-surrounds-nnpcl-claim-on-operation/,-1
47,KRKA: Acquisition of treasury shares,Spis treści:1. REPORT2. INFORMATION ABOUT THE ENTITY3. SIGNATURE OF PERSONS REPRESENTING THE COMPANYSpis załączników:Detailed_report_on_acquisition_of_treasury_shares.pdf  (REPORT) POLISH FINANCIAL SUPERVISION AUTHORITY ...,2024-11-29T11:05:00Z,https://www.bankier.pl/wiadomosc/KRKA-Acquisition-of-treasury-shares-8853512.html,1
48,"Daiwa Securities Group Inc. Has $2.36 Million Stock Position in Principal Financial Group, Inc. (NYSE:PFG)","Daiwa Securities Group Inc. grew its position in shares of Principal Financial Group, Inc. (NYSE:PFG – Free Report) by 1.7% in the third quarter, according to the company in its most recent 13F filing with the Securities & Exchange Commission. The fund owned …",2024-11-29T11:04:19Z,https://www.etfdailynews.com/2024/11/29/daiwa-securities-group-inc-has-2-36-million-stock-position-in-principal-financial-group-inc-nysepfg/,1
49,"Centaurus Financial Inc. Has $117,000 Stock Position in Pacer Global Cash Cows Dividend ETF (BATS:GCOW)","Centaurus Financial Inc. trimmed its stake in shares of Pacer Global Cash Cows Dividend ETF (BATS:GCOW – Free Report) by 12.6% during the third quarter, according to its most recent disclosure with the Securities and Exchange Commission. The institutional inv…",2024-11-29T11:04:19Z,https://www.etfdailynews.com/2024/11/29/centaurus-financial-inc-has-117000-stock-position-in-pacer-global-cash-cows-dividend-etf-batsgcow/,-1
50,"1,206 Shares in Edison International (NYSE:EIX) Acquired by Centaurus Financial Inc.","Centaurus Financial Inc. acquired a new position in shares of Edison International (NYSE:EIX – Free Report) in the third quarter, according to its most recent filing with the Securities and Exchange Commission. The institutional investor acquired 1,206 shares…",2024-11-29T11:04:19Z,https://www.etfdailynews.com/2024/11/29/1206-shares-in-edison-international-nyseeix-acquired-by-centaurus-financial-inc/,1
51,"450 Shares in Installed Building Products, Inc. (NYSE:IBP) Purchased by Centaurus Financial Inc.","Centaurus Financial Inc. acquired a new position in shares of Installed Building Products, Inc. (NYSE:IBP – Free Report) in the third quarter, according to its most recent Form 13F filing with the SEC. The firm acquired 450 shares of the construction company’…",2024-11-29T11:04:15Z,https://www.etfdailynews.com/2024/11/29/450-shares-in-installed-building-products-inc-nyseibp-purchased-by-centaurus-financial-inc/,1
52,"Centaurus Financial Inc. Lowers Position in Rivian Automotive, Inc. (NASDAQ:RIVN)","Centaurus Financial Inc. cut its stake in Rivian Automotive, Inc. (NASDAQ:RIVN – Free Report) by 30.4% in the 3rd quarter, HoldingsChannel.com reports. The institutional investor owned 8,939 shares of the electric vehicle automaker’s stock after selling 3,904…",2024-11-29T11:03:43Z,https://www.etfdailynews.com/2024/11/29/centaurus-financial-inc-lowers-position-in-rivian-automotive-inc-nasdaqrivn/,-1
54,"90-Year-Old Falls Prey To Digital Arrest Scam In Gujarat, Loses Rs 1 Crore","A 90-year-old man in Gujarat's Surat lost his entire life savings of over Rs 1 crore to fraudsters, who posed as CBI officers and placed him under 'digital arrest' for 15 days.",2024-11-29T11:02:21Z,https://www.ndtv.com/india-news/90-year-old-falls-prey-to-digital-arrest-scam-in-gujarat-loses-rs-1-crore-7133692,-1
57,Bitcoin rebounds to $96K: On-chain data points to $100K potential,"BTC's resilience amid rising inflation bolsters its status as a ""safe-haven"" asset, laying the psychological groundwork for the $100K milestone.",2024-11-29T11:00:47Z,https://ambcrypto.com/bitcoin-rebounds-to-96k-on-chain-data-points-to-100k-potential/,1
58,The recent SCOTUS decision that could hamper Trump's tariffs plan,Trump’s proposed tariffs may violate the United States-Mexico-Canada agreement that was negotiated during his first administration.,2024-11-29T11:00:41Z,https://www.msnbc.com/opinion/msnbc-opinion/trump-tariffs-supreme-court-congress-rcna181914,-1
59,Stock market update: Nifty Pharma index 2.35%,The Nifty Pharma index closed 2.35 per cent  at 22240.20.,2024-11-29T11:00:37Z,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-pharma-index-2-35/articleshow/115806514.cms,1
60,"Should you let day-to-day news affect your investing? Plus, when will stock valuations normalize?","Portfolio Manager John De Goey answers reader questions about rate cuts, a soft landing versus a recession, and irrational markets. Read on.",2024-11-29T11:00:04Z,https://financialpost.com/fp-answers/news-affect-investing-stock-valuations-normalize,1
61,Artificial Intelligence Is Being Used To Make Buying a Car Better,Artificial intelligence is being used in new ways to aid shoppers and car dealers throughout the buying process.,2024-11-29T11:00:01Z,https://www.newsweek.com/artificial-intelligence-being-used-make-buying-car-better-1991977,1
62,Gratitude Is Our Defining Ideal | Opinion,"Thanksgiving, and perhaps the holiday season more broadly, is a good time to take stock of all that we have been blessed with.",2024-11-29T11:00:01Z,https://www.newsweek.com/gratitude-our-defining-ideal-opinion-1992855,1
68,Charter Communications (NASDAQ:CHTR) Upgraded at BNP Paribas,"BNP Paribas upgraded shares of Charter Communications (NASDAQ:CHTR – Free Report) from an underperform rating to a neutral rating in a research report released on Tuesday morning, Marketbeat.com reports. BNP Paribas currently has $360.00 target price on the s…",2024-11-29T10:58:48Z,https://www.etfdailynews.com/2024/11/29/charter-communications-nasdaqchtr-upgraded-at-bnp-paribas/,1
70,Are Wall Street Analysts Predicting Cummins Stock Will Climb or Sink?,"UNLIMITED Watchlists, Portfolios, Screeners, and other Barchart tools with Barchart Premier.
FREE 30 Day Trial
- Market Pulse
-
- Options Market Overview
- Unusual Options Activity
- IV Rank and IV Percentile
- Implied vs Realized Vol
- Most Active Options
- …",2024-11-29T10:55:05Z,https://biztoc.com/x/900749a35a613266,1
71,monday.com Ltd. (NASDAQ:MNDY) Stock Position Raised by Larson Financial Group LLC,"Larson Financial Group LLC increased its holdings in shares of monday.com Ltd. (NASDAQ:MNDY – Free Report) by 645.7% during the third quarter, according to its most recent Form 13F filing with the Securities and Exchange Commission. The institutional investor…",2024-11-29T10:54:50Z,https://www.etfdailynews.com/2024/11/29/monday-com-ltd-nasdaqmndy-stock-position-raised-by-larson-financial-group-llc/,1
72,Independent Advisor Alliance Buys 87 Shares of iShares Russell 1000 Growth ETF (NYSEARCA:IWF),"Independent Advisor Alliance grew its stake in iShares Russell 1000 Growth ETF (NYSEARCA:IWF – Free Report) by 8.4% in the third quarter, according to the company in its most recent Form 13F filing with the Securities and Exchange Commission. The fund owned 1…",2024-11-29T10:54:50Z,https://www.etfdailynews.com/2024/11/29/independent-advisor-alliance-buys-87-shares-of-ishares-russell-1000-growth-etf-nysearcaiwf/,1
73,Kingsview Wealth Management LLC Reduces Position in Lululemon Athletica Inc. (NASDAQ:LULU),"Kingsview Wealth Management LLC lowered its position in shares of Lululemon Athletica Inc. (NASDAQ:LULU – Free Report) by 9.6% in the third quarter, according to the company in its most recent filing with the SEC. The firm owned 1,557 shares of the apparel re…",2024-11-29T10:54:50Z,https://www.etfdailynews.com/2024/11/29/kingsview-wealth-management-llc-reduces-position-in-lululemon-athletica-inc-nasdaqlulu/,-1
74,"Kingsview Wealth Management LLC Has $354,000 Stock Holdings in Check Point Software Technologies Ltd. (NASDAQ:CHKP)","Kingsview Wealth Management LLC raised its stake in Check Point Software Technologies Ltd. (NASDAQ:CHKP – Free Report) by 9.0% in the third quarter, according to the company in its most recent disclosure with the Securities & Exchange Commission. The institut…",2024-11-29T10:54:50Z,https://www.etfdailynews.com/2024/11/29/kingsview-wealth-management-llc-has-354000-stock-holdings-in-check-point-software-technologies-ltd-nasdaqchkp/,1
75,Independent Advisor Alliance Trims Stake in Arm Holdings plc (NASDAQ:ARM),"Independent Advisor Alliance cut its position in shares of Arm Holdings plc (NASDAQ:ARM – Free Report) by 7.1% in the third quarter, according to the company in its most recent filing with the Securities and Exchange Commission. The firm owned 2,290 shares of…",2024-11-29T10:54:49Z,https://www.etfdailynews.com/2024/11/29/independent-advisor-alliance-trims-stake-in-arm-holdings-plc-nasdaqarm/,-1
76,Independent Advisor Alliance Takes Position in Sonoco Products (NYSE:SON),"Independent Advisor Alliance acquired a new position in shares of Sonoco Products (NYSE:SON – Free Report) during the 3rd quarter, according to the company in its most recent 13F filing with the Securities and Exchange Commission. The fund acquired 6,680 shar…",2024-11-29T10:54:49Z,https://www.etfdailynews.com/2024/11/29/independent-advisor-alliance-takes-position-in-sonoco-products-nyseson/,1
77,Kingsview Wealth Management LLC Buys 410 Shares of Arm Holdings plc (NASDAQ:ARM),"Kingsview Wealth Management LLC lifted its stake in Arm Holdings plc (NASDAQ:ARM – Free Report) by 20.4% in the 3rd quarter, HoldingsChannel reports. The fund owned 2,423 shares of the company’s stock after purchasing an additional 410 shares during the quart…",2024-11-29T10:54:49Z,https://www.etfdailynews.com/2024/11/29/kingsview-wealth-management-llc-buys-410-shares-of-arm-holdings-plc-nasdaqarm/,1
78,"Independent Advisor Alliance Sells 146 Shares of Gartner, Inc. (NYSE:IT)","Independent Advisor Alliance reduced its holdings in shares of Gartner, Inc. (NYSE:IT – Free Report) by 14.6% during the third quarter, according to the company in its most recent disclosure with the Securities and Exchange Commission (SEC). The institutional…",2024-11-29T10:54:49Z,https://www.etfdailynews.com/2024/11/29/independent-advisor-alliance-sells-146-shares-of-gartner-inc-nyseit/,-1
79,Canadian National Railway (NYSE:CNI) Shares Sold by Kingsview Wealth Management LLC,"Kingsview Wealth Management LLC trimmed its position in Canadian National Railway (NYSE:CNI – Free Report) (TSE:CNR) by 4.5% during the 3rd quarter, according to its most recent filing with the Securities and Exchange Commission (SEC). The fund owned 3,120 sh…",2024-11-29T10:54:49Z,https://www.etfdailynews.com/2024/11/29/canadian-national-railway-nysecni-shares-sold-by-kingsview-wealth-management-llc/,-1
80,Stock Index Futures Climb as Bond Yields Fall,"Market Pulse
-
- Options Market Overview
- Unusual Options Activity
- IV Rank and IV Percentile
- Implied vs Realized Vol
- Most Active Options
- Highest Open Positions
- Unusual Options Volume
- Highest Implied Volatility
- %Change in Volatility
- Options Vo…",2024-11-29T10:54:48Z,https://biztoc.com/x/a236bf091ae8dc66,-1
82,Stock market update: Fertilisers stocks up as market rises,The 30-share BSE Sensex closed  up  759.05 points at 79802.79,2024-11-29T10:50:29Z,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fertilisers-stocks-up-as-market-rises/articleshow/115806229.cms,1
84,Stock market update: Mining stocks up as market rises,The 30-share BSE Sensex closed  up  759.05 points at 79802.79,2024-11-29T10:45:24Z,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-mining-stocks-up-as-market-rises/articleshow/115806060.cms,1
86,"Great Valley Advisor Group Inc. Sells 1,000 Shares of Carpenter Technology Co. (NYSE:CRS)","Great Valley Advisor Group Inc. trimmed its holdings in shares of Carpenter Technology Co. (NYSE:CRS – Free Report) by 42.2% during the third quarter, HoldingsChannel reports. The fund owned 1,368 shares of the basic materials company’s stock after selling 1,…",2024-11-29T10:44:55Z,https://www.etfdailynews.com/2024/11/29/great-valley-advisor-group-inc-sells-1000-shares-of-carpenter-technology-co-nysecrs/,-1
87,Loomis Sayles & Co. L P Lowers Position in Garmin Ltd. (NYSE:GRMN),"Loomis Sayles & Co. L P lessened its position in Garmin Ltd. (NYSE:GRMN – Free Report) by 12.6% in the third quarter, according to the company in its most recent filing with the Securities & Exchange Commission. The firm owned 456 shares of the scientific and…",2024-11-29T10:44:55Z,https://www.etfdailynews.com/2024/11/29/loomis-sayles-co-l-p-lowers-position-in-garmin-ltd-nysegrmn/,-1
88,"Dynamic Technology Lab Private Ltd Acquires Shares of 25,701 SK Telecom Co., Ltd. (NYSE:SKM)","Dynamic Technology Lab Private Ltd bought a new stake in SK Telecom Co., Ltd. (NYSE:SKM – Free Report) during the third quarter, HoldingsChannel.com reports. The firm bought 25,701 shares of the Wireless communications provider’s stock, valued at approximatel…",2024-11-29T10:44:55Z,https://www.etfdailynews.com/2024/11/29/dynamic-technology-lab-private-ltd-acquires-shares-of-25701-sk-telecom-co-ltd-nyseskm/,1
89,"Dynamic Technology Lab Private Ltd Trims Stake in HubSpot, Inc. (NYSE:HUBS)","Dynamic Technology Lab Private Ltd lessened its position in HubSpot, Inc. (NYSE:HUBS – Free Report) by 65.1% in the third quarter, according to the company in its most recent filing with the Securities & Exchange Commission. The firm owned 1,102 shares of the…",2024-11-29T10:44:55Z,https://www.etfdailynews.com/2024/11/29/dynamic-technology-lab-private-ltd-trims-stake-in-hubspot-inc-nysehubs/,-1
90,Analysts Set The Cigna Group (NYSE:CI) Target Price at $394.64,"The Cigna Group (NYSE:CI – Get Free Report) has been given a consensus rating of “Buy” by the fifteen research firms that are currently covering the company, MarketBeat.com reports. One equities research analyst has rated the stock with a hold rating, thirtee…",2024-11-29T10:44:54Z,https://www.etfdailynews.com/2024/11/29/analysts-set-the-cigna-group-nyseci-target-price-at-394-64/,1
91,The Cigna Group (NYSE:CI) Stock Position Lifted by Loomis Sayles & Co. L P,"Loomis Sayles & Co. L P raised its holdings in The Cigna Group (NYSE:CI – Free Report) by 21.2% in the third quarter, according to its most recent Form 13F filing with the Securities & Exchange Commission. The fund owned 246 shares of the health services prov…",2024-11-29T10:44:53Z,https://www.etfdailynews.com/2024/11/29/the-cigna-group-nyseci-stock-position-lifted-by-loomis-sayles-co-l-p/,1
92,"CrowdStrike Holdings, Inc. (NASDAQ:CRWD) Shares Bought by Brown Brothers Harriman & Co.","Brown Brothers Harriman & Co. grew its stake in shares of CrowdStrike Holdings, Inc. (NASDAQ:CRWD – Free Report) by 101.6% in the third quarter, Holdings Channel.com reports. The fund owned 254 shares of the company’s stock after purchasing an additional 128 …",2024-11-29T10:44:53Z,https://www.etfdailynews.com/2024/11/29/crowdstrike-holdings-inc-nasdaqcrwd-shares-bought-by-brown-brothers-harriman-co/,1
93,"Connor Clark & Lunn Investment Management Ltd. Takes $697,000 Position in Samsara Inc. (NYSE:IOT)","Connor Clark & Lunn Investment Management Ltd. acquired a new position in shares of Samsara Inc. (NYSE:IOT – Free Report) during the 3rd quarter, according to the company in its most recent filing with the Securities & Exchange Commission. The institutional i…",2024-11-29T10:44:52Z,https://www.etfdailynews.com/2024/11/29/connor-clark-lunn-investment-management-ltd-takes-697000-position-in-samsara-inc-nyseiot/,1
